season,team,player,league,sport,numTeams,rank,position,year,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
2024,"{'id': 118, 'name': 'Kansas City Royals', 'link': '/api/v1/teams/118'}","{'id': 677951, 'fullName': 'Bobby Witt Jr.', 'link': '/api/v1/people/677951', 'firstName': 'Bobby', 'lastName': 'Witt'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,1,"{'code': '6', 'name': 'Shortstop', 'type': 'Infielder', 'abbreviation': 'SS'}",2024,24,161,122,205,125,45,11,32,106,57,9,211,8,0.332,636,0.389,0.588,0.977,12,31,.721,.279,4,2600,709,374,109,181,0,8,.354,0.60,0,19.88
2024,"{'id': 141, 'name': 'Toronto Blue Jays', 'link': '/api/v1/teams/141'}","{'id': 665489, 'fullName': 'Vladimir Guerrero Jr.', 'link': '/api/v1/people/665489', 'firstName': 'Vladimir', 'lastName': 'Guerrero'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,2,"{'code': '3', 'name': 'First Base', 'type': 'Infielder', 'abbreviation': '1B'}",2024,25,159,185,140,98,44,1,30,96,72,12,199,5,0.323,616,0.396,0.544,0.94,2,2,.500,.500,16,2602,697,335,103,225,0,4,.342,1.32,0,20.53
2024,"{'id': 147, 'name': 'New York Yankees', 'link': '/api/v1/teams/147'}","{'id': 592450, 'fullName': 'Aaron Judge', 'link': '/api/v1/people/592450', 'firstName': 'Aaron', 'lastName': 'Judge'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,3,"{'code': '8', 'name': 'Outfielder', 'type': 'Outfielder', 'abbreviation': 'CF'}",2024,32,158,82,128,122,36,1,58,171,133,20,180,9,0.322,559,0.458,0.701,1.159,0,10,1.000,.000,22,2885,704,392,144,238,0,2,.367,0.64,1,9.64
2024,"{'id': 135, 'name': 'San Diego Padres', 'link': '/api/v1/teams/135'}","{'id': 650333, 'fullName': 'Luis Arraez', 'link': '/api/v1/people/650333', 'firstName': 'Luis', 'lastName': 'Arraez'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",2,4,"{'code': '3', 'name': 'First Base', 'type': 'Infielder', 'abbreviation': '1B'}",2024,27,150,199,212,83,32,3,4,29,24,3,200,8,0.314,637,0.346,0.392,0.738,3,9,.750,.250,18,2416,672,250,46,181,2,1,.324,0.94,0,159.25
2024,"{'id': 119, 'name': 'Los Angeles Dodgers', 'link': '/api/v1/teams/119'}","{'id': 660271, 'fullName': 'Shohei Ohtani', 'link': '/api/v1/people/660271', 'firstName': 'Shohei', 'lastName': 'Ohtani'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,5,"{'code': '10', 'name': 'Designated Hitter', 'type': 'Hitter', 'abbreviation': 'DH'}",2024,29,159,124,158,134,38,7,54,162,81,10,197,6,0.31,636,0.39,0.646,1.036,4,59,.937,.063,7,2838,731,411,130,236,0,5,.336,0.78,3,11.78
2024,"{'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}","{'id': 670541, 'fullName': 'Yordan Alvarez', 'link': '/api/v1/people/670541', 'firstName': 'Yordan', 'lastName': 'Alvarez'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,6,"{'code': '10', 'name': 'Designated Hitter', 'type': 'Hitter', 'abbreviation': 'DH'}",2024,27,147,98,193,88,34,2,35,95,69,16,170,10,0.308,552,0.392,0.567,0.959,0,6,1.000,.000,14,2264,635,313,86,216,0,4,.317,0.51,0,15.77
2024,"{'id': 144, 'name': 'Atlanta Braves', 'link': '/api/v1/teams/144'}","{'id': 542303, 'fullName': 'Marcell Ozuna', 'link': '/api/v1/people/542303', 'firstName': 'Marcell', 'lastName': 'Ozuna'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,7,"{'code': '10', 'name': 'Designated Hitter', 'type': 'Hitter', 'abbreviation': 'DH'}",2024,33,162,121,136,96,31,0,39,170,74,2,183,3,0.302,606,0.378,0.546,0.924,0,1,1.000,.000,23,2875,688,331,104,240,0,4,.359,0.89,1,15.54
2024,"{'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}","{'id': 673237, 'fullName': 'Yainer Diaz', 'link': '/api/v1/people/673237', 'firstName': 'Yainer', 'lastName': 'Diaz'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,8,"{'code': '2', 'name': 'Catcher', 'type': 'Catcher', 'abbreviation': 'C'}",2024,25,148,191,120,70,29,3,16,107,24,1,175,2,0.299,585,0.325,0.441,0.766,0,2,1.000,.000,22,2128,619,258,84,268,0,8,.338,1.59,0,36.56
2024,"{'id': 143, 'name': 'Philadelphia Phillies', 'link': '/api/v1/teams/143'}","{'id': 607208, 'fullName': 'Trea Turner', 'link': '/api/v1/people/607208', 'firstName': 'Trea', 'lastName': 'Turner'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,9,"{'code': '6', 'name': 'Shortstop', 'type': 'Infielder', 'abbreviation': 'SS'}",2024,31,121,127,132,88,25,0,21,98,27,0,149,6,0.295,505,0.338,0.469,0.807,4,19,.826,.174,10,2043,539,237,62,197,0,1,.331,0.96,0,24.05
2024,"{'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}","{'id': 514888, 'fullName': 'Jose Altuve', 'link': '/api/v1/people/514888', 'firstName': 'Jose', 'lastName': 'Altuve'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,10,"{'code': '4', 'name': 'Second Base', 'type': 'Infielder', 'abbreviation': '2B'}",2024,34,153,153,171,94,31,0,20,119,47,2,185,7,0.295,628,0.35,0.439,0.789,7,22,.759,.241,15,2454,682,276,65,193,0,0,.337,0.89,0,31.40
