season,team,player,league,sport,numTeams,rank,position,year,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
2024,"{'id': 144, 'name': 'Atlanta Braves', 'link': '/api/v1/teams/144'}","{'id': 519242, 'fullName': 'Chris Sale', 'link': '/api/v1/people/519242', 'firstName': 'Chris', 'lastName': 'Sale'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,1,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,35,29,29,153,136,48,32,4,9,225,39,0,141,8,.216,652,.269,.319,.588,4,12,.750,.250,9,2815,2.38,177.2,18,3,0,0,0,0,47,1.01,702,533,29,0,0,1891,.670,8,1,4,2,208,1.13,.857,15.84,0,5.77,11.40,1.98,7.14,2.43,0.46,0,0,0,2,1
2024,"{'id': 116, 'name': 'Detroit Tigers', 'link': '/api/v1/teams/116'}","{'id': 669373, 'fullName': 'Tarik Skubal', 'link': '/api/v1/people/669373', 'firstName': 'Tarik', 'lastName': 'Skubal'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,2,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,27,31,31,169,170,54,24,4,15,228,35,0,142,9,.201,705,.247,.311,.558,3,3,.500,.500,12,2866,2.39,192.0,18,4,0,0,0,0,51,0.92,753,576,31,0,0,1985,.690,9,0,2,0,219,0.99,.818,14.93,0,6.51,10.69,1.64,6.66,2.53,0.70,0,0,0,1,3
2024,"{'id': 143, 'name': 'Philadelphia Phillies', 'link': '/api/v1/teams/143'}","{'id': 554430, 'fullName': 'Zack Wheeler', 'link': '/api/v1/people/554430', 'firstName': 'Zack', 'lastName': 'Wheeler'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,3,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,34,32,32,173,191,62,28,5,20,224,52,0,139,8,.192,723,.253,.328,.581,3,8,.727,.273,13,3134,2.57,200.0,16,7,0,0,0,0,57,0.96,787,600,32,0,0,2056,.660,8,0,8,1,237,0.91,.696,15.67,0,4.31,10.08,2.34,6.26,2.79,0.90,0,0,0,1,3
2024,"{'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}","{'id': 669854, 'fullName': 'Ronel Blanco', 'link': '/api/v1/people/669854', 'firstName': 'Ronel', 'lastName': 'Blanco'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,4,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,30,30,29,139,186,56,26,3,22,166,68,0,114,2,.190,599,.273,.354,.627,3,7,.700,.300,12,2751,2.80,167.1,13,6,0,0,0,0,52,1.09,676,502,30,1,1,1758,.640,2,0,3,1,212,0.75,.684,16.44,1,2.44,8.93,3.66,6.13,3.01,1.18,0,0,1,1,5
2024,"{'id': 112, 'name': 'Chicago Cubs', 'link': '/api/v1/teams/112'}","{'id': 684007, 'fullName': 'Shota Imanaga', 'link': '/api/v1/people/684007', 'firstName': 'Shota', 'lastName': 'Imanaga'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,5,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,30,29,29,138,202,66,23,1,27,174,28,0,149,3,.225,662,.259,.385,.644,2,3,.600,.400,7,2590,2.91,173.1,15,3,0,0,0,0,56,1.02,694,520,29,0,0,1778,.690,3,0,3,3,255,0.68,.833,14.94,0,6.21,9.03,1.45,7.74,3.43,1.40,0,0,0,0,1
2024,"{'id': 117, 'name': 'Houston Astros', 'link': '/api/v1/teams/117'}","{'id': 664285, 'fullName': 'Framber Valdez', 'link': '/api/v1/people/664285', 'firstName': 'Framber', 'lastName': 'Valdez'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,6,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,30,28,28,234,99,60,24,1,13,169,55,0,140,6,.221,634,.287,.323,.610,1,9,.900,.100,32,2598,2.91,176.1,15,7,0,0,0,0,57,1.11,703,529,28,1,0,1645,.630,6,1,8,0,205,2.36,.682,14.73,0,3.07,8.63,2.81,7.15,3.06,0.66,0,0,0,2,6
2024,"{'id': 110, 'name': 'Baltimore Orioles', 'link': '/api/v1/teams/110'}","{'id': 669203, 'fullName': 'Corbin Burnes', 'link': '/api/v1/people/669203', 'firstName': 'Corbin', 'lastName': 'Burnes'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,7,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,29,32,32,200,188,76,21,1,22,181,48,0,165,2,.226,731,.274,.347,.621,6,41,.872,.128,11,2996,2.92,194.1,15,9,0,0,0,0,63,1.10,784,583,32,0,0,1932,.640,2,3,7,2,254,1.06,.625,15.42,0,3.77,8.38,2.22,7.64,3.52,1.02,0,0,0,0,3
2024,"{'id': 136, 'name': 'Seattle Mariners', 'link': '/api/v1/teams/136'}","{'id': 682243, 'fullName': 'Bryce Miller', 'link': '/api/v1/people/682243', 'firstName': 'Bryce', 'lastName': 'Miller'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,8,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,25,31,31,140,214,62,25,1,21,171,45,1,131,3,.200,654,.254,.338,.592,7,10,.588,.412,6,2749,2.94,180.1,12,8,0,0,0,0,59,0.98,704,541,31,0,0,1790,.650,3,0,2,1,221,0.65,.600,15.24,0,3.80,8.53,2.25,6.54,3.09,1.05,0,0,0,0,2
2024,"{'id': 135, 'name': 'San Diego Padres', 'link': '/api/v1/teams/135'}","{'id': 650633, 'fullName': 'Michael King', 'link': '/api/v1/people/650633', 'firstName': 'Michael', 'lastName': 'King'}","{'id': 104, 'name': 'NL', 'link': '/api/v1/league/104'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,9,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,29,31,30,147,164,71,27,2,17,201,63,2,144,7,.221,653,.296,.346,.642,3,8,.727,.273,8,2895,2.95,173.2,13,9,0,0,0,0,57,1.19,726,521,31,0,0,1872,.650,7,0,1,2,226,0.90,.591,16.67,0,3.19,10.42,3.26,7.46,3.68,0.88,0,0,0,2,1
2024,"{'id': 118, 'name': 'Kansas City Royals', 'link': '/api/v1/teams/118'}","{'id': 607625, 'fullName': 'Seth Lugo', 'link': '/api/v1/people/607625', 'firstName': 'Seth', 'lastName': 'Lugo'}","{'id': 103, 'name': 'AL', 'link': '/api/v1/league/103'}","{'id': 1, 'link': '/api/v1/sports/1', 'abbreviation': 'MLB'}",1,10,"{'code': '1', 'name': 'Pitcher', 'type': 'Pitcher', 'abbreviation': 'P'}",2024,34,33,33,213,208,75,36,6,16,181,48,1,177,9,.229,773,.281,.353,.634,5,5,.500,.500,18,3112,3.00,206.2,16,9,0,0,0,0,69,1.09,836,620,33,1,0,2033,.650,9,0,4,0,273,1.02,.640,15.06,0,3.77,7.88,2.09,7.71,3.27,0.70,0,0,0,2,4
