date_kst,time_kst,home_team,away_team,home_score,away_score,venue,weather,temp,status
2024-03-29,04:05,Baltimore Orioles,Los Angeles Angels,11,3,Oriole Park at Camden Yards,Cloudy,54,Final
2024-03-29,05:10,Cincinnati Reds,Washington Nationals,8,2,Great American Ball Park,Clear,56,Final
2024-03-29,05:10,San Diego Padres,San Francisco Giants,6,4,Petco Park,Partly Cloudy,63,Final
2024-03-29,05:10,Los Angeles Dodgers,St. Louis Cardinals,7,1,Dodger Stadium,Partly Cloudy,66,Final
2024-03-29,05:10,Tampa Bay Rays,Toronto Blue Jays,2,8,Tropicana Field,Dome,72,Final
2024-03-29,05:10,Kansas City Royals,Minnesota Twins,1,4,Kauffman Stadium,Sunny,65,Final
2024-03-29,05:10,Chicago White Sox,Detroit Tigers,0,1,Guaranteed Rate Field,Partly Cloudy,50,Final
2024-03-29,05:10,Miami Marlins,Pittsburgh Pirates,5,6,loanDepot park,Roof Closed,72,Final
2024-03-29,05:10,Houston Astros,New York Yankees,4,5,Minute Maid Park,Roof Closed,73,Final
2024-03-29,08:35,Texas Rangers,Chicago Cubs,4,3,Globe Life Field,Roof Closed,74,Final
2024-03-29,11:07,Oakland Athletics,Cleveland Guardians,0,8,Oakland Coliseum,Cloudy,55,Final
2024-03-29,11:10,Arizona Diamondbacks,Colorado Rockies,16,1,Chase Field,Overcast,73,Final
2024-03-29,11:10,Seattle Mariners,Boston Red Sox,4,6,T-Mobile Park,Roof Closed,53,Final
2024-03-29,02:10,New York Mets,Milwaukee Brewers,0,0,Citi Field,Sunny,53,Final
2024-03-29,04:05,Philadelphia Phillies,Atlanta Braves,0,0,Citizens Bank Park,Sunny,56,Final
2024-03-30,02:40,New York Mets,Milwaukee Brewers,1,3,Citi Field,Sunny,53,Final
2024-03-30,04:05,Philadelphia Phillies,Atlanta Braves,3,9,Citizens Bank Park,Sunny,56,Final
2024-03-30,07:50,Tampa Bay Rays,Toronto Blue Jays,8,2,Tropicana Field,Dome,72,Final
2024-03-30,08:10,Miami Marlins,Pittsburgh Pirates,2,7,loanDepot park,Partly Cloudy,73,Final
2024-03-30,09:10,Houston Astros,New York Yankees,1,7,Minute Maid Park,Roof Closed,73,Final
2024-03-30,10:40,Arizona Diamondbacks,Colorado Rockies,7,3,Chase Field,Clear,81,Final
2024-03-30,10:40,Oakland Athletics,Cleveland Guardians,4,6,Oakland Coliseum,Partly Cloudy,54,Final
2024-03-30,10:40,Seattle Mariners,Boston Red Sox,1,0,T-Mobile Park,Clear,53,Final
2024-03-30,10:40,San Diego Padres,San Francisco Giants,3,8,Petco Park,Partly Cloudy,61,Final
2024-03-30,11:10,Los Angeles Dodgers,St. Louis Cardinals,6,3,Dodger Stadium,Cloudy,57,Final
2024-03-31,02:40,New York Mets,Milwaukee Brewers,6,7,Citi Field,Sunny,54,Final
2024-03-31,03:10,Chicago White Sox,Detroit Tigers,6,7,Guaranteed Rate Field,Partly Cloudy,61,Final
2024-03-31,05:05,Baltimore Orioles,Los Angeles Angels,13,4,Oriole Park at Camden Yards,Cloudy,68,Final
2024-03-31,05:05,Philadelphia Phillies,Atlanta Braves,4,12,Citizens Bank Park,Partly Cloudy,61,Final
2024-03-31,05:07,Oakland Athletics,Cleveland Guardians,3,12,Oakland Coliseum,Cloudy,60,Final
2024-03-31,05:10,Cincinnati Reds,Washington Nationals,6,7,Great American Ball Park,Partly Cloudy,75,Final
2024-03-31,05:10,Tampa Bay Rays,Toronto Blue Jays,5,1,Tropicana Field,Dome,72,Final
2024-03-31,05:10,Kansas City Royals,Minnesota Twins,1,5,Kauffman Stadium,Sunny,66,Final
2024-03-31,05:10,Miami Marlins,Pittsburgh Pirates,3,9,loanDepot park,Cloudy,75,Final
2024-03-31,08:05,Texas Rangers,Chicago Cubs,11,2,Globe Life Field,Roof Closed,74,Final
2024-03-31,08:15,San Diego Padres,San Francisco Giants,6,9,Petco Park,Cloudy,54,Final
2024-03-31,08:15,Houston Astros,New York Yankees,3,5,Minute Maid Park,Roof Closed,73,Final
2024-03-31,09:10,Arizona Diamondbacks,Colorado Rockies,4,9,Chase Field,Roof Closed,76,Final
2024-03-31,10:10,Los Angeles Dodgers,St. Louis Cardinals,5,6,Dodger Stadium,Cloudy,52,Final
2024-03-31,10:40,Seattle Mariners,Boston Red Sox,4,3,T-Mobile Park,Roof Closed,54,Final
2024-04-01,02:35,Baltimore Orioles,Los Angeles Angels,1,4,Oriole Park at Camden Yards,Cloudy,65,Final
2024-04-01,02:35,Philadelphia Phillies,Atlanta Braves,5,4,Citizens Bank Park,Cloudy,59,Final
2024-04-01,02:40,Cincinnati Reds,Washington Nationals,6,5,Great American Ball Park,Cloudy,58,Final
2024-04-01,02:40,Tampa Bay Rays,Toronto Blue Jays,2,9,Tropicana Field,Dome,72,Final
2024-04-01,02:40,Miami Marlins,Pittsburgh Pirates,7,9,loanDepot park,Sunny,77,Final
2024-04-01,02:40,New York Mets,Milwaukee Brewers,1,4,Citi Field,Sunny,57,Final
